sygnatura_czasowa,q1_ogolne_wrazenia,q2_latwosc_dolaczenia,q3_czytelnosc_na_telefonie,q4_czas_na_odpowiedz,q5_ulubiony_typ_pytania,q6_ocena_obrazu_pixel,q7_ranking_motywacja,q8_plynnosc_dzialania,q9_czesciej_na_lekcjach,q10_uwagi
2026-06-12 09:16:12,5,5,5,w sam raz,odsłaniany obraz,5,5,5,tak,"super zabawa, lepsze niż zwykła wychowawcza"
2026-06-12 09:16:28,5,5,4,za krótki,odsłaniany obraz,5,5,4,tak,"te odkrywane obrazki są najlepsze, tylko czasem za szybko się pokazywały"
2026-06-12 09:16:41,4,5,4,w sam raz,prawda/fałsz,4,4,4,tak,
2026-06-12 09:16:55,5,5,5,w sam raz,odsłaniany obraz,4,5,5,tak,
2026-06-12 09:17:09,4,4,3,za krótki,suwak,4,4,3,może,"na telefonie tekst trochę za mały"
2026-06-12 09:17:23,5,5,4,w sam raz,odsłaniany obraz,5,5,4,tak,"ranking mega motywuje 😄"
2026-06-12 09:17:38,3,4,3,za krótki,prawda/fałsz,3,4,3,może,"czasu na niektóre pytania było za mało"
2026-06-12 09:17:54,5,5,5,w sam raz,odsłaniany obraz,5,5,5,tak,"polecam, było super"
2026-06-12 09:18:07,4,5,4,w sam raz,wielokrotny wybór,4,4,4,tak,
2026-06-12 09:18:19,5,5,4,w sam raz,odsłaniany obraz,5,5,5,tak,"pixele najlepsze, chcemy więcej takich lekcji"
2026-06-12 09:18:33,4,4,5,w sam raz,szeregowanie,4,3,4,może,"spoko, ale ranking mógłby pokazywać więcej osób niż tylko czołówkę"
2026-06-12 09:18:50,5,5,4,w sam raz,odsłaniany obraz,4,5,5,tak,
2026-06-12 09:19:04,2,3,2,za krótki,jednokrotny wybór,2,2,2,nie,"ciągle mi się przycinało, chyba przez szkolne wifi"
2026-06-12 09:19:17,4,5,4,w sam raz,suwak,4,4,4,tak,"suwak fajny, dobry pomysł na pytania"
2026-06-12 09:19:35,5,5,5,w sam raz,odsłaniany obraz,5,5,4,tak,"git, polecam wszystkim"
2026-06-12 09:19:48,4,4,3,za krótki,prawda/fałsz,3,4,4,tak,"obrazek odkrywał się za szybko, dało się zgadnąć prawie od razu"
2026-06-12 09:20:02,5,5,4,w sam raz,odsłaniany obraz,5,5,5,tak,
2026-06-12 09:20:19,3,4,3,za długi,wielokrotny wybór,3,3,3,może,"niektóre pytania trwały za długo, można skrócić czas"
2026-06-12 09:20:33,5,5,5,w sam raz,odsłaniany obraz,5,5,5,tak,"najlepsza lekcja w tym roku"
2026-06-12 09:20:51,4,4,4,w sam raz,szeregowanie,4,4,4,tak,
2026-06-12 09:21:06,5,5,5,w sam raz,prawda/fałsz,5,5,5,tak,
2026-06-12 09:21:22,4,5,4,za krótki,odsłaniany obraz,4,4,4,tak,"odkrywane obrazki super, ale przydałoby się więcej czasu na odpowiedź"
2026-06-12 09:21:39,5,4,4,w sam raz,wielokrotny wybór,4,5,5,tak,
2026-06-12 09:21:55,3,4,3,za długi,suwak,3,3,3,może,"ok, ale momentami pytania trochę nudne"
2026-06-12 09:22:11,5,5,5,w sam raz,odsłaniany obraz,5,5,5,tak,"mega, róbcie więcej takich quizów"
2026-06-12 09:22:28,4,5,5,w sam raz,szeregowanie,4,4,4,tak,"podobało mi się że obrazek odkrywał się losowo a nie od góry, fajny efekt"
2026-06-12 09:22:44,4,4,4,za krótki,jednokrotny wybór,4,4,4,tak,"all good, tylko czasu za mało"
2026-06-12 09:22:58,5,5,3,w sam raz,prawda/fałsz,5,5,2,może,"na moim telefonie literki małe i raz apka się zawiesiła"
